15/05/2019 09:39:00,79,31,-18,0.89,-1,28,101,91
15/05/2019 09:39:1,63,30,-17,0.89,-1,27,101,91
15/05/2019 09:39:2,132,32,-15,0.89,-1,27,101,91
15/05/2019 09:39:3,184,33,-15,0.89,-1,30,101,92
15/05/2019 09:39:4,138,31,-12,0.89,-1,29,101,91
15/05/2019 09:39:5,99,30,-14,0.89,-1,27,101,91
15/05/2019 09:40:00,105,30,-12,0.89,-1,29,101,91
15/05/2019 09:40:1,110,29,-11,0.89,-1,29,101,91
15/05/2019 09:40:2,68,27,-11,0.89,-1,30,101,91
15/05/2019 09:40:3,62,27,-11,0.89,-1,31,101,92
15/05/2019 09:40:4,80,27,-11,0.89,-1,32,101,91
15/05/2019 09:40:5,75,28,-10,0.89,-1,32,101,92
15/05/2019 09:41:00,61,28,-10,0.89,-1,32,101,91
15/05/2019 09:41:1,59,28,-11,0.89,-1,31,101,92
15/05/2019 09:41:2,83,29,-10,0.89,-1,30,101,91
15/05/2019 09:41:3,104,30,-10,0.89,-1,31,100,91
15/05/2019 09:41:4,186,31,-9,0.89,-1,34,101,92
15/05/2019 09:41:5,124,30,-10,0.89,-1,34,101,91
15/05/2019 09:42:00,135,32,-10,0.89,-1,31,102,90
15/05/2019 09:42:1,137,31,-8,0.89,-1,33,101,92
15/05/2019 09:42:2,144,32,-8,0.89,-1,32,101,91
15/05/2019 09:42:3,153,32,-9,0.89,-1,35,101,91
15/05/2019 09:42:4,69,31,-9,0.89,-1,29,101,91
15/05/2019 09:42:5,35,32,-9,0.89,-1,27,101,91
15/05/2019 09:43:00,25,32,-9,0.89,-1,27,101,91
15/05/2019 09:43:1,38,32,-9,0.89,-1,27,101,91
15/05/2019 09:43:2,257,35,-10,0.89,-1,28,100,91
15/05/2019 09:43:3,262,35,-8,0.89,-1,30,101,91
15/05/2019 09:43:4,285,35,-7,0.89,-1,31,101,91
15/05/2019 09:43:5,167,34,-7,0.89,-1,28,101,91
15/05/2019 09:44:00,78,34,-6,0.89,-1,25,101,91
15/05/2019 09:44:1,104,34,-6,0.89,-1,25,101,91
15/05/2019 09:44:2,84,33,-5,0.89,-1,28,101,91
15/05/2019 09:44:3,100,32,-4,0.89,-1,27,101,91
15/05/2019 09:44:4,173,37,-4,0.89,-1,28,101,91
